ISBN,Title,Authors,Publication Date,Star Rating,Number of Ratings,Price,Format,URL
9781801072168,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,David Ping,2022-01-21,5,25,67.99,Paperback,https://www.packtpub.com/en-gb/product/the-machine-learning-solutions-architect-handbook-9781801072168
9781788990820,Hands-On Penetration Testing with Python: Enhance your ethical hacking skills to build automated and intelligent systems,Furqan Khan,2019-01-31,3.7,3,32.99,Paperback,https://www.packtpub.com/en-gb/product/hands-on-penetration-testing-with-python-9781788990820
9781789340563,"Mastering Kali Linux for Advanced Penetration Testing: Secure your network with Kali Linux 2019.1 – the ultimate white hat hackers' toolkit
            , Third Edition","Vijay Kumar Velu, Robert Beggs",2019-01-30,4.4,8,54.99,Paperback,https://www.packtpub.com/en-gb/product/mastering-kali-linux-for-advanced-penetration-testing-9781789340563
9781800567689,"Automated Machine Learning: Hyperparameter optimization, neural architecture search, and algorithm selection with cloud platforms",Adnan Masood,2021-02-18,4.5,15,36.99,Paperback,https://www.packtpub.com/en-gb/product/automated-machine-learning-9781800567689
9781800564749,Machine Learning with LightGBM and Python: A practitioner's guide to developing production-ready machine learning systems,Andrich van Wyk,2023-09-29,4.4,8,37.99,Paperback,https://www.packtpub.com/en-gb/product/machine-learning-with-lightgbm-and-python-9781800564749
9781784393755,DynamoDB Cookbook: Over 90 hands-on recipes to design Internet scalable web and mobile applications with Amazon DynamoDB,Deshpande,2015-09-25,3.9,8,36.99,Paperback,https://www.packtpub.com/en-gb/product/dynamodb-cookbook-9781784393755
9781803232164,"Kibana 8.x – A Quick Start Guide to Data Analysis: Learn about data exploration, visualization, and dashboard building with Kibana",Shah,2024-02-29,5,3,26.99,Paperback,https://www.packtpub.com/en-gb/product/kibana-8x-a-quick-start-guide-to-data-analysis-9781803232164
9781805123705,"The Self-Taught Cloud Computing Engineer: A comprehensive professional study guide to AWS, Azure, and GCP",Dr. Logan Song,2023-09-22,5,180,33.99,Paperback,https://www.packtpub.com/en-gb/product/the-self-taught-cloud-computing-engineer-9781805123705
9781837632060,"Data Engineering with Databricks Cookbook: Build effective data and AI solutions using Apache Spark, Databricks, and Delta Lake",Pulkit Chadha,2024-05-31,4.4,7,37.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-databricks-cookbook-9781837632060
9781804613139,"Data Engineering with AWS:  Acquire the skills to design and build AWS-based data transformation pipelines like a pro
            , Second Edition",Eagar,2023-10-31,4.8,31,38.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-9781804613139
9781803241883,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Zagni,2023-06-30,4.9,8,37.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-dbt-9781803241883
9781839212307,Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,Paul Crickard,2020-10-23,2.6,24,38.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-python-9781839212307
9781835085363,"Data Engineering with Google Cloud Platform: A guide to leveling up as a data engineer by building a scalable data platform with Google Cloud 
            , Second Edition",Adi Wijaya,2024-04-30,4.5,6,31.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-google-cloud-platform-9781835085363
9781837631070,"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio","Bryan, Ransome",2023-11-07,4.6,5,22.99,eBook,https://www.packtpub.com/en-gb/product/cracking-the-data-engineering-interview-9781837631070
