Query Type,MySQL Time (s),MongoDB Time (s)
Simple Filter (No Index),0.0011683464050292968,0.001434326171875
Aggregation (No Index),0.0008254051208496094,0.0023968696594238283
Sorting (No Index),0.001957273483276367,0.0027244091033935547
Simple Filter (With Index),0.001034116744995117,0.001386404037475586
Aggregation (With Index),0.0007437229156494141,0.0018994808197021484
Sorting (With Index),0.001819276809692383,0.005463266372680664
